Comment,Designator,Footprint,LCSC Part #
TS36CA-0.6,BOOT1,SW-SMD_TS36CA,C2681481
22uF,C1,C0805,C45783
100nF,C10,C0805,C5137467
10uF,C11,C0805,C6119887
100nF,C12,C0805,C5137467
10uF,C13,C0805,C6119887
100nF,C14,C0805,C5137467
1uF,C15,C0805,C6119929
100nF,C16,C0805,C5137467
100nF,C17,C0805,C5137467
10uF,C18,C0805,C6119887
100nF,C19,C0805,C5137467
10uF,C2,C0805,C6119887
10uF,C20,C0805,C6119887
100nF,C21,C0805,C5137467
10uF,C22,C0805,C6119887
10uF,C23,C0805,C6119887
100nF,C24,C0805,C5137467
100nF,C25,C0805,C5137467
10uF,C26,C0805,C6119887
22uF,C3,C0805,C45783
10uF,C4,C0805,C6119887
22uF,C5,C0805,C45783
22uF,C6,C0805,C45783
22uF,C7,C0805,C45783
22uF,C8,C0805,C45783
22uF,C9,C0805,C45783
TF PUSH,CARD1,TF-SMD_TF-PUSH,C393941
HC-1.25-2PWT,CN1,CONN-SMD_2P-P1.25-HC-1.25-2PWT,C2845379
100nF,C_DISP1,C0805,C5137467
WAFER-PH2.0-2PWB,H1,CONN-SMD_2P-P2.00_XUNPU_WAFER-PH2.0-2PWB,C3029440
FH34SRJ-10S-0.5SH(50),J_DISP1,Hirose_FH34SRJ-10S-0.5SH_50_1x10_P0.50mm_DualContact,C324723
HX TS665WS 200gf,KEY1,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
HX TS665WS 200gf,KEY2,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
HX TS665WS 200gf,KEY3,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
HX TS665WS 200gf,KEY4,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
HX TS665WS 200gf,KEY5,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
HX TS665WS 200gf,KEY6,KEY-SMD_L6.0-W6.0-LS6.6,C5143657
1uH,L1,L0805,C383371
2.2uH,L2,IND-SMD_L3.0-W3.0_FNR30XXS,C167747
XL-2012UOC,LED1,LED0805-RD_ORANGE,C965813
XL-2020RGBC-2812B,LED2,LED-SMD_4P-L2.0-W2.0-BR-1,C5349955
UMH3N,Q1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,C62892
5.1kΩ,R1,R0805,C27834
10kΩ,R10,R0805,C2930231
10kΩ,R11,R0805,C2930231
100kΩ,R12,R0805,C149504
100kΩ,R15,R0805,C149504
10kΩ,R16,R0805,C2930231
10kΩ,R17,R0805,C2930231
10kΩ,R18,R0805,C2930231
22Ω,R19,R0805,C17561
5.1kΩ,R2,R0805,C27834
100kΩ,R3,R0805,C149504
2Ω,R4,R0805,C2930265
500mΩ,R5,R0805,C2934281
680kΩ,R6,R0805,C17797
1kΩ,R7,R0805,C17513
100kΩ,R8,R0805,C149504
150kΩ,R9,R0805,C17470
TS36CA-0.6,RST1,SW-SMD_TS36CA,C2681481
SK12D07VG4-BF,SW1,SW-TH_SK12D07VG4-BF,C49451756
10*10*9-6P WX,SW2,SW-SMD-6P-L10.5-W10.0_C2858290,C2858290
IP5306,U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,C181692
TLV62568DBVR,U2,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C163219
CH340C,U3,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,C84681
ESP32-S3-WROOM-1-N16R8,U4,WIRELM-SMD_ESP32-S3-WROOM-1,C2913202
MAX98357AETE+T,U5,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,C910544
ICS-43434,U7,MIC-SMD_6P-L3.5-W2.7-P0.90-BL,C5656610
HX-TYPE-C 16P 180 LC-B H15.0,USB1,USB-C-TH_HX-TYPE-C-16P-180LC-BH15.0,C49261588
