Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,133.700500mm,-82.950000mm,180.000000,Top
C1,168.374500mm,-94.196500mm,270.000000,Top
C10,181.005500mm,-95.167000mm,180.000000,Top
C11,185.003500mm,-116.560500mm,180.000000,Top
C12,185.003500mm,-118.694000mm,180.000000,Top
C13,136.172000mm,-87.504500mm,270.000000,Top
C14,138.581000mm,-87.504500mm,270.000000,Top
C15,131.550000mm,-90.774500mm,90.000000,Top
C16,126.925000mm,-82.925000mm,180.000000,Top
C17,170.805000mm,-85.717000mm,180.000000,Top
C18,109.664000mm,-124.186000mm,180.000000,Top
C19,109.639500mm,-122.128500mm,180.000000,Top
C2,193.200000mm,-108.575000mm,180.000000,Top
C20,165.000000mm,-119.500000mm,0.000000,Top
C21,169.500000mm,-119.500000mm,0.000000,Top
C22,169.376000mm,-105.707500mm,0.000000,Top
C23,126.563000mm,-119.157000mm,180.000000,Top
C24,126.542500mm,-121.282000mm,180.000000,Top
C25,106.370000mm,-94.608000mm,0.000000,Top
C26,106.370000mm,-96.706500mm,180.000000,Top
C3,202.125000mm,-93.025500mm,90.000000,Top
C4,197.312500mm,-110.992000mm,180.000000,Top
C5,197.825000mm,-95.050000mm,90.000000,Top
C6,188.495000mm,-89.507000mm,0.000000,Top
C7,188.495000mm,-87.455000mm,0.000000,Top
C8,181.005500mm,-91.128500mm,180.000000,Top
C9,181.005500mm,-93.135000mm,180.000000,Top
CARD1,128.574000mm,-129.027500mm,0.000000,Top
CN1,101.850000mm,-135.800000mm,180.000000,Top
C_DISP1,169.500000mm,-109.500000mm,0.000000,Top
H1,212.116000mm,-93.026000mm,270.000000,Top
J_DISP1,154.625000mm,-128.500000mm,0.000000,Top
KEY1,204.925000mm,-83.725000mm,0.000000,Bottom
KEY2,195.725000mm,-83.725000mm,0.000000,Bottom
KEY3,110.525000mm,-83.725000mm,180.000000,Bottom
KEY4,101.325000mm,-83.725000mm,180.000000,Bottom
KEY5,98.500000mm,-103.675000mm,180.000000,Bottom
KEY6,109.000000mm,-110.225000mm,180.000000,Bottom
L1,194.442000mm,-92.033000mm,0.000000,Top
L2,171.507000mm,-95.179500mm,0.000000,Top
LED1,160.850000mm,-135.821000mm,90.000000,Top
LED2,203.995000mm,-126.604500mm,0.000000,Bottom
Q1,184.076000mm,-124.031000mm,180.000000,Top
R1,144.604000mm,-134.893000mm,180.000000,Top
R10,129.442500mm,-90.790000mm,270.000000,Top
R11,133.749000mm,-87.502500mm,90.000000,Top
R12,114.285000mm,-125.930500mm,90.000000,Top
R15,107.225000mm,-90.000000mm,90.000000,Top
R16,120.450000mm,-120.425000mm,180.000000,Top
R17,132.672000mm,-119.185500mm,0.000000,Top
R18,132.672000mm,-121.310000mm,0.000000,Top
R19,152.750000mm,-124.575000mm,180.000000,Top
R2,144.604000mm,-137.171000mm,0.000000,Top
R3,137.098000mm,-92.036500mm,270.000000,Top
R4,193.194000mm,-110.987500mm,180.000000,Top
R5,199.975000mm,-93.025000mm,90.000000,Top
R6,176.796500mm,-91.504000mm,180.000000,Top
R7,206.171000mm,-104.764000mm,90.000000,Top
R8,134.685000mm,-92.036500mm,90.000000,Top
R9,176.814500mm,-89.452000mm,0.000000,Top
RST1,172.550000mm,-82.949500mm,180.000000,Top
SW1,182.022000mm,-83.925000mm,180.000000,Top
SW2,203.995000mm,-109.725000mm,180.000000,Bottom
U1,194.100000mm,-100.725000mm,0.000000,Top
U2,176.509500mm,-94.227000mm,180.000000,Top
U3,178.310000mm,-125.275500mm,270.000000,Top
U4,153.125000mm,-96.120000mm,0.000000,Top
U5,111.163000mm,-127.690000mm,90.000000,Top
U7,104.093000mm,-90.997000mm,180.000000,Top
USB1,153.125000mm,-136.121000mm,0.000000,Top
