LCSC	MPN	Manufacturer	Package	Stock	URL
C2913202	ESP32-S3-WROOM-1-N16R8	ESPRESSIF	SMD,25.5x18mm	20010	https://datasheet.lcsc.com/datasheet/pdf/24a44651a4767a6582addcdaa9cab2ca.pdf?productCode=C2913202
C54313	BQ24074RGTR	TI	QFN-16-EP(3x3)	3027	https://datasheet.lcsc.com/datasheet/pdf/e5a19d47a6734993951051890f7e65b7.pdf?productCode=C54313
C109322	TPS63070RNMR	TI	VQFN-15-HR(2.5x3)	13141	https://datasheet.lcsc.com/datasheet/pdf/112777666f5e63019f626e149f96758e.pdf?productCode=C109322
C919459	TPS61023DRLR	TI	SOT-563	12660	https://www.ti.com.cn/cn/lit/ds/symlink/tps61023.pdf?ts=1728812468331&ref_url=https%253A%252F%252Fwww.ti.com.cn%252Fproduct%252Fcn%252FTPS61023
C910544	MAX98357AETE+T	MAXIM	TQFN-16-EP(3x3)	12426	https://datasheet.lcsc.com/datasheet/pdf/9dd365a93d191d8d6f09766b0e3ea172.pdf?productCode=C910544
C5563886	IM73D122V01XTMA1	Infineon	SMD	0	https://datasheet.lcsc.com/datasheet/pdf/7dd43900195f2e2d40f82de2a9982909.pdf?productCode=C5563886
C473397	BQ27441DRZR-G1A	TI	SON-12-EP(2.5x4)	0	https://datasheet.lcsc.com/datasheet/pdf/da1c8d3890c8232bb5d57d4c838c177a.pdf?productCode=C473397
C7519	USBLC6-2SC6	ST	SOT-23-6L	28270	https://datasheet.lcsc.com/datasheet/pdf/0d3a2ab954b34651a0695e7ccf534db0.pdf?productCode=C7519
C2997435	HC-TYPE-C-16P-01A-G	HCTL	SMD	650	https://datasheet.lcsc.com/datasheet/pdf/ea1c016fd26c7003868b77af3336b8bd.pdf?productCode=C2997435
C324723	FH34SRJ-10S-0.5SH(50)	HRS	SMD,P=0.5mm,Surface Mount,Right Angle	6685	https://datasheet.lcsc.com/datasheet/pdf/b22b198a99883d4e7c81e9e66baf2abb.pdf?productCode=C324723
C114218	DM3AT-SF-PEJM5	HRS	SMD	3918	https://datasheet.lcsc.com/datasheet/pdf/ed7c38214cbd45158a701879217600e9.pdf?productCode=C114218
