Designator,Mid X,Mid Y,Layer,Rotation
C1,135.5000mm,-103.6000mm,B,0.000000
C2,139.0000mm,-98.0000mm,B,0.000000
C3,139.0000mm,-100.8000mm,B,0.000000
C10,124.0000mm,-95.0000mm,B,0.000000
C11,124.0000mm,-97.0000mm,B,0.000000
C12,123.0000mm,-100.0000mm,B,0.000000
C13,120.0000mm,-102.0000mm,B,0.000000
C14,128.0000mm,-90.0000mm,B,0.000000
C20,129.0000mm,-86.0000mm,B,0.000000
C21,136.0000mm,-87.0000mm,B,0.000000
C22,139.0000mm,-87.0000mm,B,0.000000
C30,114.0000mm,-57.0000mm,B,0.000000
C31,114.0000mm,-59.8000mm,B,0.000000
C40,64.0000mm,-60.8000mm,B,0.000000
C50,70.0000mm,-92.8000mm,B,0.000000
C51,70.0000mm,-95.6000mm,B,0.000000
C70,122.5000mm,-105.0000mm,B,180.000000
C71,122.5000mm,-108.0000mm,B,180.000000
C80,88.0000mm,-100.8000mm,B,0.000000
C81,139.0000mm,-69.0000mm,B,0.000000
C82,139.0000mm,-71.0000mm,B,0.000000
C90,154.0000mm,-94.0000mm,B,0.000000
C91,157.0000mm,-94.0000mm,B,0.000000
R1,100.0000mm,-100.0000mm,B,0.000000
R2,100.0000mm,-102.8000mm,B,0.000000
R3,132.0000mm,-98.0000mm,B,0.000000
R4,132.0000mm,-100.8000mm,B,0.000000
R5,132.0000mm,-103.6000mm,B,0.000000
R6,135.5000mm,-98.0000mm,B,0.000000
R7,135.5000mm,-100.8000mm,B,0.000000
R10,132.0000mm,-91.0000mm,B,0.000000
R11,132.0000mm,-92.5000mm,B,0.000000
R20,129.0000mm,-81.0000mm,B,0.000000
R21,129.0000mm,-82.5000mm,B,0.000000
R30,124.0000mm,-91.5000mm,B,0.000000
R40,64.0000mm,-58.0000mm,B,0.000000
R41,70.0000mm,-90.0000mm,B,0.000000
R70,106.0000mm,-98.0000mm,B,0.000000
R71,106.0000mm,-100.8000mm,B,0.000000
R72,118.0000mm,-108.0000mm,B,0.000000
R74,136.0000mm,-108.0000mm,B,0.000000
R75,147.0000mm,-105.5000mm,B,0.000000
R76,142.0000mm,-89.5000mm,B,0.000000
R77,145.0000mm,-107.0000mm,B,0.000000
R80,88.0000mm,-98.0000mm,B,0.000000
R90,146.0000mm,-92.0000mm,B,0.000000
R91,149.0000mm,-92.0000mm,B,0.000000
R92,152.0000mm,-92.0000mm,B,0.000000
R93,155.0000mm,-92.0000mm,B,0.000000
U1,151.0000mm,-74.0000mm,B,0.000000
U2,143.0000mm,-103.0000mm,B,0.000000
U3,128.0000mm,-94.0000mm,B,0.000000
U4,134.0000mm,-80.0000mm,B,0.000000
U5,64.0000mm,-94.0000mm,B,0.000000
U7,128.0000mm,-106.0000mm,B,0.000000
U8,116.0000mm,-101.0000mm,B,0.000000
J1,108.0000mm,-111.0000mm,T,0.000000
J2,108.0000mm,-54.0000mm,T,0.000000
J3,151.0000mm,-104.0000mm,T,0.000000
U6,58.0000mm,-58.0000mm,T,0.000000
